ci,na,co,lo,la,z
Constanta,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,44.18333435,28.64999962,FLE Standard Time
"Coos Bay, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,43.36639023,-124.2177811,Pacific Standard Time
Copenhagen,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Denmark,55.66670227,12.58329773,Romance Standard Time
"Coquille, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,43.17694473,-124.1875,Pacific Standard Time
Cordoba,(GMT-03:00) Argentina,Argentina,-31.41666603,-64.18333435,Argentina Standard Time
Corfu,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,39.61777878,19.9197216,FLE Standard Time
Cork,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,51.90000153,-8.483333588,GMT Standard Time
Corrientes,(GMT-03:00) Argentina,Argentina,-27.4711113,-58.83972168,Argentina Standard Time
Cotonou,(GMT+01:00) West Central Africa,Benin,6.366666794,2.433333397,W. Central Africa Standard Time
Craiova,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,44.31666565,23.81666756,FLE Standard Time
"Cranbrook, BC",(GMT-07:00) Mountain Time (US & Canada),Canada,49.51805496,-115.7613907,Mountain Standard Time
Cuenca,"(GMT-05:00) Bogota, Lima, Quito",Ecuador,-2.896111012,-79.00527954,SA Pacific Standard Time
Culiacan,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,24.80416679,-107.3877792,Mexico Standard Time 2
"Cupertino, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.53305435,-122.0500031,Pacific Standard Time
Curitiba,(GMT-03:00) Brasilia,Brazil,-25.42972183,-49.27111053,E. South America Standard Time
Da Nang,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Vietnam,16.05166626,108.2149963,SE Asia Standard Time
Daegu,(GMT+09:00) Seoul,"Korea, South",35.86360931,128.5913849,Korea Standard Time
Dakar,(GMT) Greenwich Mean Time,Senegal,14.6833334,-17.45000076,Greenwich Standard Time
Dalian,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,38.95000076,121.5833359,China Standard Time
"Dallas, TX",(GMT-06:00) Central Time (US & Canada),United States,32.76666641,-96.80000305,Central Standard Time
Damascus,(GMT+02:00) Syria,Syria,33.51666641,36.31666565,Syria Standard Time
Damauli,(GMT+05:45) Kathmandu,Nepal,27.95861053,84.28055573,Nepal Standard Time
Dambulla,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.856666565,80.64916992,India Standard Time
Dampier,(GMT+08:00) Perth,Australia,-20.66666603,116.7166672,W. Australia Standard Time
Dandong,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,40.12722397,124.3850021,China Standard Time
Dar es Salaam,(GMT+03:00) Nairobi,Tanzania,-6.800000191,39.28305435,E. Africa Standard Time
Darasuram,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,10.95138931,79.35610962,India Standard Time
Darwin,(GMT+09:30) Darwin,Australia,-12.4333334,130.8500061,AUS Central Standard Time
Dausa,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,26.88944435,76.33611298,India Standard Time
Davao,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,7.079999924,125.6136093,Singapore Standard Time
"Dayton, OH",(GMT-05:00) Eastern Time (US & Canada),United States,39.76666641,-84.19999695,Eastern Standard Time
"Del Rio, TX",(GMT-06:00) Central Time (US & Canada),United States,29.36277771,-100.8969421,Central Standard Time
Delhi,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,28.61666679,77.21670532,India Standard Time
Denpasar,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-8.656389236,115.2222214,Singapore Standard Time
"Denver, CO",(GMT-07:00) Mountain Time (US & Canada),United States,39.75500107,-104.9880524,Mountain Standard Time
"Des Moines, IA",(GMT-06:00) Central Time (US & Canada),United States,41.59972382,-93.63305664,Central Standard Time
"Detroit, MI",(GMT-05:00) Eastern Time (US & Canada),United States,42.33139038,-83.04582977,Eastern Standard Time
Dhahran,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,26.28333282,50.11666489,Arab Standard Time
Dhaka,(GMT+06:00) Bangladesh,Bangladesh,23.85000038,90.40000153,Bangladesh Standard Time
Dhamar,"(GMT+03:00) Kuwait, Riyadh",Yemen,14.55000019,44.40166855,Arab Standard Time
Dharan,(GMT+05:45) Kathmandu,Nepal,26.81138802,87.26889038,Nepal Standard Time
Dieppe,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,49.93333435,1.083333373,Romance Standard Time
Dili,(GMT+09:00) Seoul,East Timor,-8.566666603,125.5833359,Korea Standard Time
Djember,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-8.172499657,113.7002792,SE Asia Standard Time
Djibouti,"(GMT+03:00) Kuwait, Riyadh",Djibouti,11.58333302,43.15000153,Arab Standard Time
Dnepropetrovsk,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,48.45000076,34.98333359,FLE Standard Time
Dodoma,(GMT+03:00) Nairobi,Tanzania,-6.183333397,35.73333359,E. Africa Standard Time
Doha,"(GMT+03:00) Kuwait, Riyadh",Qatar,25.25,51.56666565,Arab Standard Time
Donauworth,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,48.71944427,10.77666664,W. Europe Standard Time
Donetsk,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,48,37.79999924,FLE Standard Time
Doolin,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.01610947,-9.37749958,GMT Standard Time
Douala,(GMT+01:00) West Central Africa,Cameroon,4.047500134,9.706388474,W. Central Africa Standard Time
Dover,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.13333511,1.283333302,GMT Standard Time
Dresden,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,51.04999924,13.69999981,W. Europe Standard Time
Drogheda,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.71666718,-6.349999905,GMT Standard Time
"DuPont, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.0969429,-122.6299973,Pacific Standard Time
Dubai,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,25.21666718,55.28333282,Arabian Standard Time
Dublin,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.33309937,-6.248901367,GMT Standard Time
"Dublin, OH",(GMT-05:00) Eastern Time (US & Canada),United States,40.09916687,-83.11416626,Eastern Standard Time
Duesseldorf,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,51.23333359,6.783333302,W. Europe Standard Time
Dumaguete,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,9.314167023,123.3102798,Singapore Standard Time
Dundee,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,56.46666718,-3,GMT Standard Time
Dunedin,"(GMT+12:00) Auckland, Wellington",New Zealand,-45.88360977,170.4741669,New Zealand Standard Time
Dunkerque,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,51.03333282,2.349999905,Romance Standard Time
Durban,"(GMT+02:00) Harare, Pretoria",South Africa,-29.86666679,30.98333359,South Africa Standard Time
Durres,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Albania,41.32722092,19.45416641,W. Europe Standard Time
Dushanbe,(GMT+05:00) Tashkent,Tajikistan,38.56666565,68.78333282,West Asia Standard Time
"Duvall, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.74305725,-121.9858322,Pacific Standard Time
Dzerzhinsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.26666641,43.34999847,Russian Standard Time
East London,"(GMT+02:00) Harare, Pretoria",South Africa,-32.96666718,27.86666679,South Africa Standard Time
Edinburgh,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,55.94999695,-3.199996948,GMT Standard Time
"Edmonton, AB",(GMT-07:00) Mountain Time (US & Canada),Canada,53.54083252,-113.4936142,Mountain Standard Time
Eindhoven,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,51.43999863,5.477499962,W. Europe Standard Time
Eirunepe,(GMT-04:00) La Paz,Brazil,-6.660277843,-69.87444305,SA Western Standard Time
Ekaterinburg,(GMT+06:00) Ekaterinburg,Russia,56.84999847,60.59999847,Ekaterinburg Standard Time
"El Paso, TX",(GMT-07:00) Mountain Time (US & Canada),United States,31.76638794,-106.4830551,Mountain Standard Time
Ensenada,(GMT-08:00) Pacific Time (US & Canada); Tijuana,Mexico,31.86944389,-116.5936127,Pacific Standard Time
Esfahan,(GMT+03:30) Tehran,Iran,32.65139008,51.67916489,Iran Standard Time
Essen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,51.46666718,7,W. Europe Standard Time
Etterbeek,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Belgium,50.83666611,4.386944294,Romance Standard Time
"Eugene, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,44.04000092,-123.082222,Pacific Standard Time
Ezcaray,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,42.32611084,-3.014444351,Romance Standard Time
"Fairbanks, AK",(GMT-09:00) Alaska,United States,64.81639099,-146.25,Alaskan Standard Time
Falmouth,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,50.15000153,-5.066666603,GMT Standard Time
Faro,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,37.01666641,-7.933333397,GMT Standard Time
Flic en Flac,(GMT+04:00) Mauritius,Mauritius,-20.28027725,57.37083435,Mauritius Standard Time
Florence,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,43.76861191,11.25694466,W. Europe Standard Time
"Florence, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,43.98333359,-124.0999985,Pacific Standard Time
Floro,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,61.59972382,5.034722328,W. Europe Standard Time
"Folcroft, PA",(GMT-05:00) Eastern Time (US & Canada),United States,39.89083481,-75.28388977,Eastern Standard Time
"Folsom, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,38.67805481,-121.1750031,Pacific Standard Time
Fontainebleau,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,48.4058342,2.701944351,Romance Standard Time
"Fort Defiance, AZ",(GMT-07:00) Mountain Time (US & Canada),United States,35.74194336,-109.0666656,Mountain Standard Time
"Fort Worth, TX",(GMT-06:00) Central Time (US & Canada),United States,32.73333359,-97.31666565,Central Standard Time
Fort-de-France,(GMT-04:00) La Paz,Martinique,14.60000038,-61.06666565,SA Western Standard Time
Fortaleza,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,-3.75,-38.58333206,SA Eastern Standard Time
Foshan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,23.02166748,113.1213913,China Standard Time
"Foster City, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.55861282,-122.2711105,Pacific Standard Time
Foxton,"(GMT+12:00) Auckland, Wellington",New Zealand,-40.47138977,175.2858276,New Zealand Standard Time
Fragneto Monforte,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,41.24666595,14.76333332,W. Europe Standard Time
Frankfurt,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,50.03333282,8.566666603,W. Europe Standard Time
Freetown,(GMT) Greenwich Mean Time,Sierra Leone,8.483333588,-13.23333359,Greenwich Standard Time
"Fremont, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.54999924,-121.9833298,Pacific Standard Time
"Ft. Lauderdale, FL",(GMT-05:00) Eastern Time (US & Canada),United States,26.1222229,-80.14333344,Eastern Standard Time
Fujairah,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,25.11888885,56.34944534,Arabian Standard Time
Fukui,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,36.06666565,136.2166595,Tokyo Standard Time
Fukuoka,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,33.58333206,130.3999939,Tokyo Standard Time
Funafuti,(GMT+12:00) Marshall Islands,Tuvalu,-8.516666412,179.2166595,Marshall Islands Standard Time
Fuzhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,26.06666756,119.3000031,China Standard Time
Gaborone,"(GMT+02:00) Harare, Pretoria",Botswana,-24.64999962,25.91666603,South Africa Standard Time
"Galesburg, IL",(GMT-06:00) Central Time (US & Canada),United States,40.94777679,-90.37110901,Central Standard Time
Galway,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.26666641,-9.066666603,GMT Standard Time
"Gary, IN",(GMT-06:00) Central Time (US & Canada),United States,41.59555435,-87.34527588,Central Standard Time
Gatton,(GMT+10:00) Brisbane,Australia,-27.56666756,152.2833405,E. Australia Standard Time
Gavle,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,60.68333435,17.18333244,W. Europe Standard Time
Gaya,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,24.78000069,85,India Standard Time
Gdansk,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Poland,54.35194397,18.64666748,Central European Standard Time
Gelendzhik,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,44.54999924,38.08333206,Russian Standard Time
Geneva,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,46.23333359,6.066666603,W. Europe Standard Time
Genoa,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,44.41055679,8.935277939,W. Europe Standard Time
Gent,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Belgium,51.04999924,3.733333349,Romance Standard Time
George Town,"(GMT-05:00) Bogota, Lima, Quito",Cayman Islands,19.29583359,-81.3758316,SA Pacific Standard Time
Georgetown,(GMT-04:00) La Paz,Guyana,6.783333302,-58.15000153,SA Western Standard Time
Georgetown,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,5.363611221,100.3108368,Singapore Standard Time
Ghatgaon,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,21.40416718,85.88694763,India Standard Time
Ghumli,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,21.88583374,69.76361084,India Standard Time
Gibraltar,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Gibraltar,36.13333511,-5.349999905,Romance Standard Time
"Gig Harbor, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.32694626,-122.5955582,Pacific Standard Time
Girona,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,41.98166656,2.823611021,Romance Standard Time
Giurgiu,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,43.90000153,25.96666718,FLE Standard Time
Gladstone,(GMT+10:00) Brisbane,Australia,-23.85000038,151.2666626,E. Australia Standard Time
Glasgow,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,55.86666489,-4.266666889,GMT Standard Time
Gloucester,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.88333511,-2.25,GMT Standard Time
Gosford,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-33.42722321,151.343338,AUS Eastern Standard Time
Gothenburg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,57.68333435,11.96666622,W. Europe Standard Time
Grafton,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-29.68333244,152.9333344,AUS Eastern Standard Time
Granada,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,37.16666794,-3.599999905,Romance Standard Time
"Grand Rapids, MI",(GMT-05:00) Eastern Time (US & Canada),United States,42.96666718,-85.66666412,Eastern Standard Time
Grand-Bassam,(GMT) Greenwich Mean Time,Cote d'Ivoire,5.199999809,-3.733333349,Greenwich Standard Time
Grasse,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.6586113,6.923611164,Romance Standard Time
Graz,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Austria,47.07055664,15.43805599,W. Europe Standard Time
Grenoble,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,45.18333435,5.716666698,Romance Standard Time
Guadalajara,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.66670227,-103.3332977,Mexico Standard Time
Guangzhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,23.11666679,113.2666702,China Standard Time
Guatemala City,(GMT-06:00) Guatemala,Guatemala,14.625,-90.53277588,Guatemala Standard Time
Guayaquil,"(GMT-05:00) Bogota, Lima, Quito",Ecuador,-2.200000048,-79.90000153,SA Pacific Standard Time
Guaymas,(GMT-07:00) Arizona,Mexico,27.91388893,-110.9022217,US Mountain Standard Time
"Guelph, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.54999924,-80.25,Eastern Standard Time
Gulbarga,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,17.32999992,76.83000183,India Standard Time
Gyor,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Hungary,47.68416595,17.63500023,Central Europe Standard Time
Gyumri,(GMT+04:00) Yerevan,Armenia,40.78944397,43.84749985,Caucasus Standard Time
Hagatna,"(GMT+10:00) Guam, Port Moresby",Guam,13.46666622,144.75,West Pacific Standard Time
Hai Phong,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Vietnam,20.86138916,106.6797256,SE Asia Standard Time
Haifa,"(GMT+02:00) Tel Aviv, Jerusalem",Israel,32.81194305,34.99888992,Israel Standard Time
Halab,(GMT+02:00) Syria,Syria,36.21666718,37.16666794,Syria Standard Time
"Halifax, NS",(GMT-04:00) Atlantic Time (Canada),Canada,44.64611053,-63.57361221,Atlantic Standard Time
Halle,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Belgium,50.73694611,4.237222195,Romance Standard Time
Hama,(GMT+02:00) Syria,Syria,35.13333511,36.75,Syria Standard Time
Hamburg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,53.54999924,10,W. Europe Standard Time
Hamilton,(GMT-04:00) Atlantic Time (Canada),Bermuda,32.29999924,-64.80000305,Atlantic Standard Time
"Hamilton, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.25,-79.84999847,Eastern Standard Time
Hammerfest,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,70.68333435,23.70000076,W. Europe Standard Time
Hanamkonda,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,18.01666641,79.6333313,India Standard Time
Hangzhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,30.27361107,120.1552811,China Standard Time
Hanjiang,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,25.46666718,119.1166687,China Standard Time
Hannover,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,52.38333511,9.733333588,W. Europe Standard Time
Hanoi,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Vietnam,21.01666641,105.8833313,SE Asia Standard Time
Harare,"(GMT+02:00) Harare, Pretoria",Zimbabwe,-17.83333397,31.04999924,South Africa Standard Time
Harbin,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,45.75,126.6166687,China Standard Time
Harstad,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,68.80000305,16.56666756,W. Europe Standard Time
Hassan,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,13.00722218,76.09444427,India Standard Time
Hastings,"(GMT+12:00) Auckland, Wellington",New Zealand,-39.63999939,176.8413849,New Zealand Standard Time
Havana,(GMT-05:00) Cuba Standard Time,Cuba,23.13305473,-81.6166687,Cuba Standard Time
Heerlen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,50.88305664,5.98083353,W. Europe Standard Time
"Helena, MT",(GMT-07:00) Mountain Time (US & Canada),United States,46.59111023,-112.0205536,Mountain Standard Time
Helsingborg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,56.04999924,12.69999981,W. Europe Standard Time
Helsingor,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Denmark,56.0363884,12.6133337,Romance Standard Time
Helsinki,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Finland,60.16666794,24.96666718,FLE Standard Time
Heredia,(GMT-06:00) Central America,Costa Rica,9.991944313,-84.12000275,Central America Standard Time
Hermosillo,(GMT-07:00) Arizona,Mexico,29.09166718,-110.9458313,US Mountain Standard Time
Hikkaduwa,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,6.128055573,80.10444641,India Standard Time
"Hillsboro, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,45.52305603,-122.9886093,Pacific Standard Time
"Hilo, HI",(GMT-10:00) Hawaii,United States,19.69333267,-155.0905609,Hawaiian Standard Time
Hiroshima,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,34.38333511,132.4333344,Tokyo Standard Time
Ho Chi Minh,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Vietnam,10.78333378,106.6999969,SE Asia Standard Time
Hobart,(GMT+10:00) Hobart,Australia,-42.88333511,147.3166656,Tasmania Standard Time
Hohhot,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,40.81666565,111.6500015,China Standard Time
Homagama,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,6.840833187,80.0138855,India Standard Time
Honiara,"(GMT+11:00) Solomon Is., New Caledonia",Solomon Islands,-9.433303833,159.9500122,Central Pacific Standard Time
"Honolulu, HI",(GMT-10:00) Hawaii,United States,21.31666756,-157.8666687,Hawaiian Standard Time
Hora Sfakion,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,35.20166779,24.13694382,FLE Standard Time
Horsens,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Denmark,55.86055374,9.849721909,Romance Standard Time
Hostalric,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,41.74638748,2.635555506,Romance Standard Time
"Houston, TX",(GMT-06:00) Central Time (US & Canada),United States,29.75,-95.38305664,Central Standard Time
Hua Hin,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,12.57027817,99.95777893,SE Asia Standard Time
Hubli,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,15.35000038,75.1333313,India Standard Time
"Hudson, MA",(GMT-05:00) Eastern Time (US & Canada),United States,42.39166641,-71.56666565,Eastern Standard Time
Huelva,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,37.25,-6.949999809,Romance Standard Time
Huizhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,23.1119442,114.4161148,China Standard Time
"Huntingdon, QC",(GMT-05:00) Eastern Time (US & Canada),Canada,45.09194565,-74.17666626,Eastern Standard Time
"Huntington, WV",(GMT-05:00) Eastern Time (US & Canada),United States,38.41055679,-82.42861176,Eastern Standard Time
Hyderabad,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,17.39999962,78.48332977,India Standard Time
Iasi,(GMT+02:00) Bucharest,Romania,47.17027664,27.58361053,E. Europe Standard Time
Ibadan,(GMT+01:00) West Central Africa,Nigeria,7.396389008,3.916666746,W. Central Africa Standard Time
Igoumenitsa,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,39.5047226,20.26277733,FLE Standard Time
Iligan,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,8.232777596,124.2402802,Singapore Standard Time
"Indianapolis, IN",(GMT-05:00) Eastern Time (US & Canada),United States,39.76638794,-86.15000153,Eastern Standard Time
"Inuvik, NT",(GMT-07:00) Mountain Time (US & Canada),Canada,68.35805511,-133.7236176,Mountain Standard Time
"Iqaluit, NU",(GMT-05:00) Eastern Time (US & Canada),Canada,63.74139023,-68.50971985,Eastern Standard Time
Iraklion,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,35.32027817,25.14361191,FLE Standard Time
Irkutsk,(GMT+09:00) Irkutsk,Russia,52.26638794,104.3330536,Ikrutsk Standard Time
"Irvine, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,33.67139053,-117.7913895,Pacific Standard Time
Islamabad,(GMT+05:00) Pakistan,Pakistan,33.66666794,73.13305664,Pakistan Standard Time
Istanbul,(GMT+02:00) Turkey,Turkey,41.01638794,28.95000076,Turkey Standard Time
Itahari,(GMT+05:45) Kathmandu,Nepal,26.66666603,87.28360748,Nepal Standard Time
Ivalo,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Finland,68.65000153,27.58333397,FLE Standard Time
Ivanovo,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,57.01666641,41.01666641,Russian Standard Time
Ixtapa,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,17.65333366,-101.5972214,Mexico Standard Time
Izhevsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.84972382,53.23333359,Russian Standard Time
Izmir,(GMT+02:00) Turkey,Turkey,38.42388916,27.1427784,Turkey Standard Time
"Jackson, MS",(GMT-06:00) Central Time (US & Canada),United States,32.29999924,-90.18333435,Central Standard Time
"Jacksonville, FL",(GMT-05:00) Eastern Time (US & Canada),United States,30.33333397,-81.65000153,Eastern Standard Time
Jacobabad,(GMT+05:00) Pakistan,Pakistan,28.2761116,68.43416595,Pakistan Standard Time
Jaen,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,37.76583481,-3.789444447,Romance Standard Time
Jaipur,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,26.89999962,75.80000305,India Standard Time
Jakarta,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-6.1743927,106.8294067,SE Asia Standard Time
Jamestown,(GMT) Greenwich Mean Time,Saint Helena,-15.91666698,-5.699999809,Greenwich Standard Time
Jammu,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,32.70888901,74.85250092,India Standard Time
Jamshedpur,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,22.77861023,86.20888519,India Standard Time
"Jasper, AB",(GMT-07:00) Mountain Time (US & Canada),Canada,52.87916565,-118.0802765,Mountain Standard Time
Jeddah,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,21.54361153,39.17305374,Arab Standard Time
"Jefferson City, MO",(GMT-06:00) Central Time (US & Canada),United States,38.57666779,-92.1736145,Central Standard Time
"Jersey City, NJ",(GMT-05:00) Eastern Time (US & Canada),United States,40.72805405,-74.07777405,Eastern Standard Time
Jerusalem,"(GMT+02:00) Tel Aviv, Jerusalem",Israel,31.76666641,35.23333359,Israel Standard Time
